Global Company Key,Data Date,Fiscal Year,Fiscal Quarter,Industry Format,Level of Consolidation - Company Interim Descriptor,Population Source,Data Format,Ticker Symbol,Company Name,ISO Currency Code,Calendar Data Year and Quarter,Fiscal Data Year and Quarter,Active/Inactive Status Marker,Market Value - Total
001690,2013-12-31,2014,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2013Q4,2014Q1,A,500680.6159
001690,2014-03-31,2014,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2014Q1,2014Q2,A,462533.0113
001690,2014-06-30,2014,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2014Q2,2014Q3,A,556573.661
001690,2014-09-30,2014,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2014Q3,2014Q4,A,591015.7208
001690,2014-12-31,2015,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2014Q4,2015Q1,A,643120.1292
001690,2015-03-31,2015,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2015Q1,2015Q2,A,717000.2515
001690,2015-06-30,2015,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2015Q2,2015Q3,A,715599.795
001690,2015-09-30,2015,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2015Q3,2015Q4,A,615336.4559
001690,2015-12-31,2016,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2015Q4,2016Q1,A,583612.7016
001690,2016-03-31,2016,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2016Q1,2016Q2,A,597095.8295
001690,2016-06-30,2016,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2016Q2,2016Q3,A,515586.574
001690,2016-09-30,2016,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2016Q3,2016Q4,A,603253.5663
001690,2016-12-31,2017,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2016Q4,2017Q1,A,608683.0919
001690,2017-03-31,2017,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2017Q1,2017Q2,A,747867.3829
001690,2017-06-30,2017,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2017Q2,2017Q3,A,744552.0036
001690,2017-09-30,2017,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2017Q3,2017Q4,A,790050.0981
001690,2017-12-31,2018,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2017Q4,2018Q1,A,859967.7987
001690,2018-03-31,2018,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2018Q1,2018Q2,A,829383.854
001690,2018-06-30,2018,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2018Q2,2018Q3,A,896472.3659
001690,2018-09-30,2018,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2018Q3,2018Q4,A,1073390.54
001690,2018-12-31,2019,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2018Q4,2019Q1,A,746079.1252
001690,2019-03-31,2019,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2019Q1,2019Q2,A,875153.5958
001690,2019-06-30,2019,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2019Q2,2019Q3,A,896853.6984
001690,2019-09-30,2019,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2019Q3,2019Q4,A,995151.5669
001690,2019-12-31,2020,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2019Q4,2020Q1,A,1287643.21
001690,2020-03-31,2020,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2020Q1,2020Q2,A,1099546.654
001690,2020-06-30,2020,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2020Q2,2020Q3,A,1562780.947
001690,2020-09-30,2020,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2020Q3,2020Q4,A,1966078.923
001690,2020-12-31,2021,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2020Q4,2021Q1,A,2232278.768
001690,2021-03-31,2021,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2021Q1,2021Q2,A,2038232.156
001690,2021-06-30,2021,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2021Q2,2021Q3,A,2267638.776
001690,2021-09-30,2021,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2021Q3,2021Q4,A,2324390.219
001690,2021-12-31,2022,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2021Q4,2022Q1,A,2901644.912
001690,2022-03-31,2022,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2022Q1,2022Q2,A,2830003.449
001690,2022-06-30,2022,3,INDL,C,D,STD,AAPL,APPLE INC,USD,2022Q2,2022Q3,A,2200560.08
001690,2022-09-30,2022,4,INDL,C,D,STD,AAPL,APPLE INC,USD,2022Q3,2022Q4,A,2203381.335
001690,2022-12-31,2023,1,INDL,C,D,STD,AAPL,APPLE INC,USD,2022Q4,2023Q1,A,2058403.942
001690,2023-03-31,2023,2,INDL,C,D,STD,AAPL,APPLE INC,USD,2023Q1,2023Q2,A,2592789.649
002968,2008-03-31,2008,1,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,2008Q1,2008Q1,A,146066.2069
002968,2008-06-30,2008,2,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,2008Q2,2008Q2,A,117880.5139
002968,2008-09-30,2008,3,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,2008Q3,2008Q3,A,174048.4249
002968,2008-12-31,2008,4,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,2008Q4,2008Q4,A,117695.2155
002968,2009-03-31,2009,1,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,2009Q1,2009Q1,A,99880.5166
002968,2009-06-30,2009,2,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,2009Q2,2009Q2,A,133852.2449
002968,2009-09-30,2009,3,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,2009Q3,2009Q3,A,172595.9812
002968,2009-12-31,2009,4,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,2009Q4,2009Q4,A,164261.4315
002968,2010-03-31,2010,1,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,2010Q1,2010Q1,A,177897.181
002968,2010-06-30,2010,2,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,2010Q2,2010Q2,A,145554.4407
002968,2010-09-30,2010,3,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,2010Q3,2010Q3,A,149417.7749
002968,2010-12-31,2010,4,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,2010Q4,2010Q4,A,165874.6715
002968,2011-03-31,2011,1,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,2011Q1,2011Q1,A,183783.4125
002968,2011-06-30,2011,2,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,2011Q2,2011Q2,A,160083.4242
002968,2011-09-30,2011,3,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,2011Q3,2011Q3,A,114422.2957
